ID	label	sentence	sentence_org	sentence_wo_emo
83	1	lovlyy हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है	lovlyy हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है	lovlyy हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है
84	1	ये सब किस्मत के चक्कर हैं बीए पास बेरोजगार हैं और बीए फेल मिनिस्टर हैं	ये सब किस्मत के चक्कर हैं बीए पास बेरोजगार हैं और बीए फेल मिनिस्टर हैं	ये सब किस्मत के चक्कर हैं बीए पास बेरोजगार हैं और बीए फेल मिनिस्टर हैं
87	1	मुसलमान isis जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को rss ज्वाइन करने मे भी शर्म आ रही है	मुसलमान isis जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को rss ज्वाइन करने मे भी शर्म आ रही है	मुसलमान isis जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को rss ज्वाइन करने मे भी शर्म आ रही है
92	0	क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही ? गाँधी को जानिए	क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही ? गाँधी को जानिए	क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही ? गाँधी को जानिए
93	0	बेवजह धर्म नहीं बना क्रिकेट धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं	बेवजह धर्म नहीं बना क्रिकेट धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं	बेवजह धर्म नहीं बना क्रिकेट धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं
94	0	मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथ अब तो सुधर जाओ अबदुल्ला सीएम होकर पाकिस्तान में मिलने की बात करते हो छीछी	मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथ अब तो सुधर जाओ अबदुल्ला सीएम होकर पाकिस्तान में मिलने की बात करते हो छीछी	मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथ अब तो सुधर जाओ अबदुल्ला सीएम होकर पाकिस्तान में मिलने की बात करते हो छीछी
95	0	हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे	हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे	हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे
96	0	रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया vishal tripathi	रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया vishal tripathi	रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया vishal tripathi
97	0	ncp के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम	ncp के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम	ncp के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम
98	0	कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये	कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये	कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये
99	1	आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला	आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला	आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला
104	0	हींग से न तेल से बन्दूक से न तलवार से isis खत्म होगा रासयनिक और जैविक गैस और सूंघ से	हींग से न तेल से बन्दूक से न तलवार से #isis खत्म होगा रासयनिक और जैविक गैस और सूंघ से	हींग से न तेल से बन्दूक से न तलवार से isis खत्म होगा रासयनिक और जैविक गैस और सूंघ से
105	0	इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है	इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है	इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है
108	1	सलमान खान big boss 8 में हवाई जहाज चलाएंगे इस खबर से फुटपाथ वालों में खुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है	सलमान खान big boss 8 में हवाई जहाज चलाएंगे इस खबर से फुटपाथ वालों में खुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है	सलमान खान big boss 8 में हवाई जहाज चलाएंगे इस खबर से फुटपाथ वालों में खुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है
111	0	एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे	एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे	एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे
118	0	भारतीय संसद बुधवार को फिर शर्मसार हुई राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए	भारतीय संसद बुधवार को फिर शर्मसार हुई राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए	भारतीय संसद बुधवार को फिर शर्मसार हुई राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए
119	0	कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की	कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की	कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की
123	1	हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था	हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था	हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था
124	0	whymediaissoantihindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है	#whymediaissoantihindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है	whymediaissoantihindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है
128	1	धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है lolz	धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है lolz	धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है lolz
129	0	अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं	अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं	अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं
138	0	breaking news रांची में आतंकी संगठन की धमकी 30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना	breaking news रांची में आतंकी संगठन की धमकी 30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना	breaking news रांची में आतंकी संगठन की धमकी 30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना
139	0	आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा अब रणनीति में क्या बदलाव किया गया है ?	आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा अब रणनीति में क्या बदलाव किया गया है ?	आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा अब रणनीति में क्या बदलाव किया गया है ?
140	0	शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगेधोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है ?	शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगेधोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है ?	शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगेधोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है ?
144	0	देखते है अब किसी की जान जायेगी उसने मेरी और मैने उसकी कसम खाई है 😎	देखते है अब किसी की जान जायेगी उसने मेरी और मैने उसकी कसम खाई है 😎	देखते है अब किसी की जान जायेगी उसने मेरी और मैने उसकी कसम खाई है 
147	1	भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी	भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी	भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी
148	1	हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह पैसा दारू और ऐयाशी है अब बोलो क्या ये भजन गायेंगे	हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह पैसा दारू और ऐयाशी है अब बोलो क्या ये भजन गायेंगे	हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह पैसा दारू और ऐयाशी है अब बोलो क्या ये भजन गायेंगे
149	0	क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुदा करे हम भी किसी और के हो जाये	क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुदा करे हम भी किसी और के हो जाये	क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुदा करे हम भी किसी और के हो जाये
151	0	गुड़िया के दर्द ' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते	गुड़िया के दर्द ' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते	गुड़िया के दर्द ' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते
153	0	आज पवेलियन में धोनी बहुत गाली खायेगा और बाहर निकलने पे अनुष्का उसके बाल भी नोच सकती है की विराट की पारी का	आज पवेलियन में धोनी बहुत गाली खायेगा और बाहर निकलने पे अनुष्का उसके बाल भी नोच सकती है की विराट की पारी का	आज पवेलियन में धोनी बहुत गाली खायेगा और बाहर निकलने पे अनुष्का उसके बाल भी नोच सकती है की विराट की पारी का
154	1	अगर यही खुलासा किसी भारतीय क्रिकेटर ने किया होता तो मीडिया और सिक्युलर उसे ही झूठा ठहरा चुके होते	अगर यही खुलासा किसी भारतीय क्रिकेटर ने किया होता तो मीडिया और सिक्युलर उसे ही झूठा ठहरा चुके होते	अगर यही खुलासा किसी भारतीय क्रिकेटर ने किया होता तो मीडिया और सिक्युलर उसे ही झूठा ठहरा चुके होते
157	0	मैच भी हार गए और मैच में समय व्यर्थ करके गर्लफ्रेंड से बात नहीं की तो वो भी गुस्सा हो गयी अब इसे कहते हैं डबल भसड	मैच भी हार गए और मैच में समय व्यर्थ करके गर्लफ्रेंड से बात नहीं की तो वो भी गुस्सा हो गयी अब इसे कहते हैं डबल भसड	मैच भी हार गए और मैच में समय व्यर्थ करके गर्लफ्रेंड से बात नहीं की तो वो भी गुस्सा हो गयी अब इसे कहते हैं डबल भसड
160	0	क्या बिगाड़ा था हमारे कोहली रायुडू या जडेजा ने कुत्तों की मौत मरवा दिया उन्हें और मैच भी हार गया	क्या बिगाड़ा था हमारे कोहली रायुडू या जडेजा ने कुत्तों की मौत मरवा दिया उन्हें और मैच भी हार गया	क्या बिगाड़ा था हमारे कोहली रायुडू या जडेजा ने कुत्तों की मौत मरवा दिया उन्हें और मैच भी हार गया
162	0	आज अनुष्का की नहीं साक्षी की बारी है शुरू हो जाओ और निकालो अपनी भड़ास	आज अनुष्का की नहीं साक्षी की बारी है शुरू हो जाओ और निकालो अपनी भड़ास	आज अनुष्का की नहीं साक्षी की बारी है शुरू हो जाओ और निकालो अपनी भड़ास
163	0	भाई जी क्या आप बताओगे कीड़े कबसे सेक्युलर और कम्युनल हुए ? मुझे लगा ये बीमारी सिर्फ मानव प्रजाति तक सिमित है	भाई जी क्या आप बताओगे कीड़े कबसे सेक्युलर और कम्युनल हुए ? मुझे लगा ये बीमारी सिर्फ मानव प्रजाति तक सिमित है	भाई जी क्या आप बताओगे कीड़े कबसे सेक्युलर और कम्युनल हुए ? मुझे लगा ये बीमारी सिर्फ मानव प्रजाति तक सिमित है
165	0	मगर जापान में बेवजह चीनी विस्तारवाद की निंदा और भारत में तिब्बती आज़ादी के विरूद्ध फरमान जारी करनेवालों से ऐसी उम्मीद रखना बेमानी	मगर जापान में बेवजह चीनी विस्तारवाद की निंदा और भारत में तिब्बती आज़ादी के विरूद्ध फरमान जारी करनेवालों से ऐसी उम्मीद रखना बेमानी	मगर जापान में बेवजह चीनी विस्तारवाद की निंदा और भारत में तिब्बती आज़ादी के विरूद्ध फरमान जारी करनेवालों से ऐसी उम्मीद रखना बेमानी
169	0	एक बार भी आतंक की जड़ कुरान पर भारतीय मीडिया में चर्चा क्यों नहीं होती जब कि गीता आदि हिन्दू धर्म ग्रंथों पर हमेशा मीडिया में चर्चा होती है	एक बार भी आतंक की जड़ कुरान पर भारतीय मीडिया में चर्चा क्यों नहीं होती जब कि गीता आदि हिन्दू धर्म ग्रंथों पर हमेशा मीडिया में चर्चा होती है	एक बार भी आतंक की जड़ कुरान पर भारतीय मीडिया में चर्चा क्यों नहीं होती जब कि गीता आदि हिन्दू धर्म ग्रंथों पर हमेशा मीडिया में चर्चा होती है
170	0	बिहार शरीफ से शेखपुरा का संपर्क भंग पुल धंसने से एनएच 82 पर आवागमन ठप	बिहार शरीफ से शेखपुरा का संपर्क भंग पुल धंसने से एनएच 82 पर आवागमन ठप	बिहार शरीफ से शेखपुरा का संपर्क भंग पुल धंसने से एनएच 82 पर आवागमन ठप
171	0	बस अब ये जूती अब अस्त्र बनकर केजरू और उसके आपियों पर बरसे	बस अब ये जूती अब अस्त्र बनकर केजरू और उसके आपियों पर बरसे	बस अब ये जूती अब अस्त्र बनकर केजरू और उसके आपियों पर बरसे
172	0	महंगी शिक्षा पर मोहन भागवत ने जताई चिंता	महंगी शिक्षा पर मोहन भागवत ने जताई चिंता	महंगी शिक्षा पर मोहन भागवत ने जताई चिंता
173	0	आखिर क्यों लोगों को यहां डर लगने लगा है ? आखिर क्यों यहां की सड़कों पर बदमाश बेखौफ हैं ?	आखिर क्यों लोगों को यहां डर लगने लगा है ? आखिर क्यों यहां की सड़कों पर बदमाश बेखौफ हैं ?	आखिर क्यों लोगों को यहां डर लगने लगा है ? आखिर क्यों यहां की सड़कों पर बदमाश बेखौफ हैं ?
174	0	मध्यप्रदेश के सतना जिले के मैहर विधायक ने भी जनवरी में जूरा पंचायत के अवैध खनन के मामले में सरपंच व मीडिया कर्मियों पर हमला किया था	मध्यप्रदेश के सतना जिले के मैहर विधायक ने भी जनवरी में जूरा पंचायत के अवैध खनन के मामले में सरपंच व मीडिया कर्मियों पर हमला किया था	मध्यप्रदेश के सतना जिले के मैहर विधायक ने भी जनवरी में जूरा पंचायत के अवैध खनन के मामले में सरपंच व मीडिया कर्मियों पर हमला किया था
178	1	जब आम जनता मारे तो नक्सली भटके हुए नव जवान है और जब कांग्रेसी मरे तो लोकतंत्र पर हमला	जब आम जनता मारे तो नक्सली भटके हुए नव जवान है और जब कांग्रेसी मरे तो लोकतंत्र पर हमला	जब आम जनता मारे तो नक्सली भटके हुए नव जवान है और जब कांग्रेसी मरे तो लोकतंत्र पर हमला
181	1	dmk ने सरकार को आधा तलाक़ दिया sp&bsp ने सरकार से आधा विवाह किया पर चाहा कर भी सुहाग रात नहीं मना सकते अपवित्र रिश्तों में ऐसा ही होता है	dmk ने सरकार को आधा तलाक़ दिया sp&bsp ने सरकार से आधा विवाह किया पर चाहा कर भी सुहाग रात नहीं मना सकते अपवित्र रिश्तों में ऐसा ही होता है	dmk ने सरकार को आधा तलाक़ दिया sp&bsp ने सरकार से आधा विवाह किया पर चाहा कर भी सुहाग रात नहीं मना सकते अपवित्र रिश्तों में ऐसा ही होता है
185	0	पूर्व सरसंघचालक भैया जी सुदर्शन के निधन पर हार्दिक पीड़ा ईश्वर उनकी आत्मा को शांति दें	पूर्व सरसंघचालक भैया जी सुदर्शन के निधन पर हार्दिक पीड़ा ईश्वर उनकी आत्मा को शांति दें	पूर्व सरसंघचालक भैया जी सुदर्शन के निधन पर हार्दिक पीड़ा ईश्वर उनकी आत्मा को शांति दें
186	0	पानी को लेकर महाराष्ट्र का बुरा हाल है और नेता जनता के जख्मोँ पर नमक छिड़क रहे है वाह रे नेता	पानी को लेकर महाराष्ट्र का बुरा हाल है और नेता जनता के जख्मोँ पर नमक छिड़क रहे है वाह रे नेता	पानी को लेकर महाराष्ट्र का बुरा हाल है और नेता जनता के जख्मोँ पर नमक छिड़क रहे है वाह रे नेता
187	0	मालुम नहीं ये खुन्ग्रेसी मुझे ब्लाक क्यों कर देते है सब के सब के वाल पर में कमेंट नहीं कर सकता भाई सचाई से मत भागो	मालुम नहीं ये खुन्ग्रेसी मुझे ब्लाक क्यों कर देते है सब के सब के वाल पर में कमेंट नहीं कर सकता भाई सचाई से मत भागो	मालुम नहीं ये खुन्ग्रेसी मुझे ब्लाक क्यों कर देते है सब के सब के वाल पर में कमेंट नहीं कर सकता भाई सचाई से मत भागो
188	0	लोकसभा में वंदे मातरम् का गान एक परंपरा है इस गीत में कुछ भी सांप्रदायिक नहीं लेकिन जबरन इसे मुसलिम विरोधी करार दिया जाता रहा है	लोकसभा में वंदे मातरम् का गान एक परंपरा है इस गीत में कुछ भी सांप्रदायिक नहीं लेकिन जबरन इसे मुसलिम विरोधी करार दिया जाता रहा है	लोकसभा में वंदे मातरम् का गान एक परंपरा है इस गीत में कुछ भी सांप्रदायिक नहीं लेकिन जबरन इसे मुसलिम विरोधी करार दिया जाता रहा है
