ID	NOUN	ADP	VERB	AUX	PRON	PROPN	PART	DET	ADJ	SCONJ	PUNCT	CCONJ	NUM	ADV	INTJ	X	words	label	sentence_org	sentence	sentence_wo_emo	pos
83	2	5	5	3	0	2	0	0	1	0	0	1	0	0	0	0	19	1	lovlyy हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है	lovlyy हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है	lovlyy हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है	ADJ, NOUN, ADP, VERB, ADP, ADP, PROPN, VERB, AUX, CCONJ, VERB, AUX, NOUN, VERB, ADP, ADP, PROPN, VERB, AUX
84	2	2	0	3	1	4	0	1	1	0	0	1	0	0	0	0	15	1	ये सब किस्मत के चक्कर हैं बीए पास बेरोजगार हैं और बीए फेल मिनिस्टर हैं	ये सब किस्मत के चक्कर हैं बीए पास बेरोजगार हैं और बीए फेल मिनिस्टर हैं	ये सब किस्मत के चक्कर हैं बीए पास बेरोजगार हैं और बीए फेल मिनिस्टर हैं	DET, PRON, NOUN, ADP, NOUN, AUX, PROPN, ADP, ADJ, AUX, CCONJ, PROPN, PROPN, PROPN, AUX
87	9	5	3	4	0	0	2	1	2	0	0	1	0	0	0	0	27	1	मुसलमान isis जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को rss ज्वाइन करने मे भी शर्म आ रही है	मुसलमान isis जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को rss ज्वाइन करने मे भी शर्म आ रही है	मुसलमान isis जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को rss ज्वाइन करने मे भी शर्म आ रही है	NOUN, NOUN, ADP, ADJ, NOUN, ADP, PART, ADJ, NOUN, ADP, NOUN, VERB, AUX, AUX, CCONJ, DET, NOUN, ADP, NOUN, NOUN, VERB, ADP, PART, NOUN, VERB, AUX, AUX
92	2	3	2	0	1	4	1	0	0	0	1	1	0	0	0	0	15	0	क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही ? गाँधी को जानिए	क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही ? गाँधी को जानिए	क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही ? गाँधी को जानिए	PRON, PROPN, ADP, PROPN, CCONJ, PROPN, VERB, NOUN, ADP, NOUN, PART, PUNCT, PROPN, ADP, VERB
93	8	5	4	2	1	1	1	2	2	0	0	1	1	1	0	0	29	0	बेवजह धर्म नहीं बना क्रिकेट धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं	बेवजह धर्म नहीं बना क्रिकेट धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं	बेवजह धर्म नहीं बना क्रिकेट धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं	ADV, NOUN, PART, VERB, NOUN, PROPN, ADP, NUM, ADJ, NOUN, AUX, NOUN, ADP, NOUN, VERB, CCONJ, DET, NOUN, ADP, PRON, DET, NOUN, ADP, ADJ, NOUN, VERB, ADP, VERB, AUX
94	4	6	4	2	3	4	2	0	0	0	1	1	3	0	0	0	30	0	मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथ अब तो सुधर जाओ अबदुल्ला सीएम होकर पाकिस्तान में मिलने की बात करते हो छीछी	मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथ अब तो सुधर जाओ अबदुल्ला सीएम होकर पाकिस्तान में मिलने की बात करते हो छीछी	मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथ अब तो सुधर जाओ अबदुल्ला सीएम होकर पाकिस्तान में मिलने की बात करते हो छीछी	PROPN, PART, ADP, NOUN, PRON, ADP, PRON, NOUN, CCONJ, NUM, NUM, NUM, NOUN, ADP, ADP, PRON, PART, VERB, AUX, PROPN, PROPN, VERB, PROPN, ADP, VERB, ADP, NOUN, VERB, AUX, PUNCT
95	3	1	2	0	3	3	2	2	0	0	0	1	0	1	0	0	18	0	हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे	हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे	हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे	PRON, ADV, PART, DET, PRON, NOUN, PROPN, CCONJ, PROPN, PROPN, ADP, NOUN, VERB, PART, PRON, DET, NOUN, VERB
96	4	0	4	3	2	2	0	1	1	0	0	0	1	0	0	0	18	0	रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया vishal tripathi	रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया vishal tripathi	रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया vishal tripathi	NOUN, VERB, AUX, NOUN, VERB, AUX, PRON, NOUN, PRON, ADJ, VERB, NUM, NOUN, DET, VERB, AUX, PROPN, PROPN
97	7	6	2	1	0	4	0	0	2	0	0	2	0	0	0	0	24	0	ncp के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम	ncp के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम	ncp के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम	PROPN, ADP, ADJ, NOUN, CCONJ, NOUN, PROPN, PROPN, PROPN, ADP, NOUN, ADP, NOUN, VERB, CCONJ, VERB, AUX, ADP, NOUN, ADP, ADJ, NOUN, ADP, NOUN
98	4	3	3	3	1	0	0	2	2	0	0	1	0	0	0	0	19	0	कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये	कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये	कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये	DET, NOUN, ADJ, VERB, ADP, NOUN, ADP, VERB, AUX, CCONJ, DET, NOUN, ADJ, AUX, PRON, NOUN, ADP, VERB, AUX
99	6	3	8	3	2	0	2	0	0	0	0	1	0	0	0	0	25	1	आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला	आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला	आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला	NOUN, ADP, VERB, ADP, NOUN, VERB, AUX, VERB, AUX, VERB, VERB, CCONJ, NOUN, PRON, NOUN, ADP, VERB, NOUN, VERB, AUX, PRON, NOUN, PART, PART, VERB
104	6	5	2	0	0	0	2	0	3	0	0	2	0	0	0	0	20	0	हींग से न तेल से बन्दूक से न तलवार से #isis खत्म होगा रासयनिक और जैविक गैस और सूंघ से	हींग से न तेल से बन्दूक से न तलवार से isis खत्म होगा रासयनिक और जैविक गैस और सूंघ से	हींग से न तेल से बन्दूक से न तलवार से isis खत्म होगा रासयनिक और जैविक गैस और सूंघ से	NOUN, ADP, PART, NOUN, ADP, NOUN, ADP, PART, NOUN, ADP, NOUN, ADJ, VERB, ADJ, CCONJ, ADJ, NOUN, CCONJ, VERB, ADP
105	6	3	2	1	0	1	0	0	1	1	0	1	0	0	0	0	16	0	इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है	इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है	इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है	PROPN, ADP, NOUN, CCONJ, NOUN, ADJ, AUX, SCONJ, NOUN, ADP, NOUN, ADP, NOUN, VERB, NOUN, VERB
108	9	8	1	2	0	6	0	1	0	0	0	1	0	0	0	0	28	1	सलमान खान big boss 8 में हवाई जहाज चलाएंगे इस खबर से फुटपाथ वालों में खुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है	सलमान खान big boss 8 में हवाई जहाज चलाएंगे इस खबर से फुटपाथ वालों में खुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है	सलमान खान big boss 8 में हवाई जहाज चलाएंगे इस खबर से फुटपाथ वालों में खुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है	PROPN, PROPN, PROPN, PROPN, PROPN, ADP, NOUN, NOUN, VERB, DET, NOUN, ADP, NOUN, ADP, ADP, NOUN, ADP, NOUN, AUX, CCONJ, NOUN, PROPN, ADP, NOUN, ADP, NOUN, ADP, AUX
111	6	2	5	4	0	0	1	1	1	0	0	1	1	0	0	0	22	0	एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे	एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे	एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे	NUM, ADJ, PART, NOUN, VERB, AUX, DET, NOUN, ADP, NOUN, ADP, NOUN, VERB, AUX, NOUN, VERB, CCONJ, NOUN, VERB, AUX, AUX, VERB
118	4	6	2	1	1	3	0	0	2	0	0	1	0	1	0	0	21	0	भारतीय संसद बुधवार को फिर शर्मसार हुई राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए	भारतीय संसद बुधवार को फिर शर्मसार हुई राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए	भारतीय संसद बुधवार को फिर शर्मसार हुई राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए	ADJ, NOUN, PROPN, ADP, ADV, ADJ, VERB, NOUN, ADP, NOUN, ADP, ADP, PROPN, CCONJ, PROPN, ADP, NOUN, PRON, ADP, VERB, AUX
119	6	6	5	3	6	2	0	1	1	0	0	1	0	0	0	0	31	0	कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की	कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की	कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की	PROPN, ADP, NOUN, ADP, NOUN, VERB, ADP, PRON, VERB, AUX, PRON, NOUN, PROPN, VERB, CCONJ, PRON, NOUN, ADP, NOUN, VERB, DET, ADJ, NOUN, ADP, PRON, VERB, AUX, PRON, PRON, AUX, ADP
123	7	1	1	3	4	1	0	1	1	0	0	1	0	0	0	0	20	1	हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था	हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था	हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था	NOUN, PROPN, NOUN, DET, NOUN, ADP, PRON, PRON, ADJ, AUX, PRON, NOUN, VERB, AUX, NOUN, CCONJ, NOUN, PRON, NOUN, AUX
124	2	1	2	2	1	2	1	1	5	0	1	1	0	0	0	0	19	0	#whymediaissoantihindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है	whymediaissoantihindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है	whymediaissoantihindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है	VERB, PROPN, ADP, NOUN, ADJ, ADJ, ADJ, CCONJ, ADJ, ADJ, AUX, PUNCT, DET, NOUN, PRON, PROPN, PART, VERB, AUX
128	3	1	3	6	4	1	1	1	0	2	1	1	0	1	0	0	25	1	धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है lolz	धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है lolz	धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है lolz	PROPN, DET, NOUN, AUX, PRON, PRON, PART, NOUN, VERB, AUX, SCONJ, VERB, AUX, AUX, PRON, AUX, SCONJ, CCONJ, ADV, PRON, ADP, NOUN, VERB, AUX, PUNCT
129	4	2	3	5	2	0	1	0	4	0	0	1	1	0	0	0	23	0	अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं	अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं	अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं	PRON, PART, NOUN, ADJ, AUX, ADJ, NOUN, ADJ, VERB, AUX, CCONJ, NOUN, PRON, ADJ, VERB, AUX, NUM, ADP, ADP, NOUN, VERB, AUX, AUX
138	6	4	3	1	0	2	0	0	1	1	1	1	1	0	0	0	21	0	breaking news रांची में आतंकी संगठन की धमकी 30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना	breaking news रांची में आतंकी संगठन की धमकी 30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना	breaking news रांची में आतंकी संगठन की धमकी 30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना	PROPN, PUNCT, PROPN, ADP, ADJ, NOUN, ADP, NOUN, NUM, NOUN, ADP, NOUN, VERB, SCONJ, VERB, AUX, CCONJ, NOUN, ADP, NOUN, VERB
139	5	2	3	3	4	0	1	2	2	0	1	2	0	1	0	0	26	0	आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा अब रणनीति में क्या बदलाव किया गया है ?	आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा अब रणनीति में क्या बदलाव किया गया है ?	आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा अब रणनीति में क्या बदलाव किया गया है ?	PRON, PART, DET, NOUN, AUX, PRON, PRON, ADJ, CCONJ, NOUN, ADP, ADJ, VERB, CCONJ, ADV, NOUN, VERB, PRON, NOUN, ADP, DET, NOUN, VERB, AUX, AUX, PUNCT
140	6	3	4	6	0	1	1	0	0	1	1	1	0	1	0	0	25	0	शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगेधोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है ?	शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगेधोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है ?	शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगेधोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है ?	NOUN, CCONJ, NOUN, ADP, NOUN, ADP, VERB, AUX, SCONJ, ADV, NOUN, VERB, AUX, ADP, NOUN, VERB, AUX, PROPN, NOUN, PART, VERB, AUX, AUX, AUX, PUNCT
144	2	1	3	2	6	0	0	0	0	0	0	1	0	0	0	0	15	0	देखते है अब किसी की जान जायेगी उसने मेरी और मैने उसकी कसम खाई है 😎	देखते है अब किसी की जान जायेगी उसने मेरी और मैने उसकी कसम खाई है 😎	देखते है अब किसी की जान जायेगी उसने मेरी और मैने उसकी कसम खाई है 	VERB, AUX, PRON, PRON, ADP, NOUN, VERB, PRON, PRON, CCONJ, PRON, PRON, NOUN, VERB, AUX
147	6	6	5	2	1	6	1	0	1	0	0	1	0	0	0	0	29	1	भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी	भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी	भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी	PROPN, NOUN, ADP, NOUN, VERB, PRON, PROPN, ADP, NOUN, ADJ, VERB, AUX, PROPN, PROPN, ADP, VERB, ADP, NOUN, ADP, NOUN, PART, VERB, NOUN, PROPN, CCONJ, PROPN, ADP, VERB, AUX
148	5	5	1	1	5	1	0	0	1	0	0	1	0	0	1	0	21	1	हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह पैसा दारू और ऐयाशी है अब बोलो क्या ये भजन गायेंगे	हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह पैसा दारू और ऐयाशी है अब बोलो क्या ये भजन गायेंगे	हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह पैसा दारू और ऐयाशी है अब बोलो क्या ये भजन गायेंगे	PRON, NOUN, ADP, NOUN, ADP, ADP, PRON, NOUN, ADP, ADP, NOUN, NOUN, CCONJ, ADJ, AUX, PRON, INTJ, PRON, PRON, PROPN, VERB
149	4	2	4	5	8	0	1	0	0	0	0	0	0	0	0	0	24	0	क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुदा करे हम भी किसी और के हो जाये	क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुदा करे हम भी किसी और के हो जाये	क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुदा करे हम भी किसी और के हो जाये	PRON, PRON, PRON, NOUN, AUX, AUX, PRON, VERB, AUX, PRON, PRON, NOUN, ADP, VERB, AUX, NOUN, VERB, PRON, PART, PRON, NOUN, ADP, VERB, AUX
151	8	5	3	1	1	0	3	0	1	0	1	1	0	1	0	0	25	0	गुड़िया के दर्द ' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते	गुड़िया के दर्द ' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते	गुड़िया के दर्द ' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते	NOUN, ADP, NOUN, PUNCT, ADP, NOUN, ADP, ADP, PART, ADV, ADJ, NOUN, VERB, PRON, NOUN, NOUN, CCONJ, NOUN, ADP, NOUN, PART, VERB, PART, VERB, AUX
